#group,false,false,false,true,false,false,false
#datatype,string,long,dateTime:RFC3339,string,long,double,string
#default,_result,,,,,,
,result,table,_time,condition,serial_number,temperature,timestamp
,,0,2025-05-06T02:36:22.208106Z,living room,85,24.63,00:07:06
,,0,2025-05-06T02:36:27.205726Z,living room,86,24.65,00:07:11
,,0,2025-05-06T02:36:32.210822Z,living room,87,24.63,00:07:16
,,0,2025-05-06T02:36:37.211504Z,living room,88,24.63,00:07:21
,,0,2025-05-06T02:36:42.212493Z,living room,89,24.63,00:07:26
,,0,2025-05-06T02:36:47.210738Z,living room,90,24.63,00:07:31
,,0,2025-05-06T02:36:52.211175Z,living room,91,24.65,00:07:36
,,0,2025-05-06T02:36:57.209538Z,living room,92,24.63,00:07:41
,,0,2025-05-06T02:37:02.214414Z,living room,93,24.65,00:07:46
,,0,2025-05-06T02:37:07.205035Z,living room,94,24.63,00:07:51
,,0,2025-05-06T02:37:12.215763Z,living room,95,24.63,00:07:56
,,0,2025-05-06T02:37:17.205101Z,living room,96,24.63,00:08:01
,,0,2025-05-06T02:37:22.209888Z,living room,97,24.65,00:08:06
,,0,2025-05-06T02:37:27.211507Z,living room,98,24.65,00:08:11
,,0,2025-05-06T02:37:32.204971Z,living room,99,24.67,00:08:16
,,0,2025-05-06T02:37:37.21146Z,living room,100,24.67,00:08:21
,,0,2025-05-06T02:37:42.208273Z,living room,101,24.65,00:08:26
,,0,2025-05-06T02:37:47.215483Z,living room,102,24.65,00:08:31
,,0,2025-05-06T02:37:52.204642Z,living room,103,24.67,00:08:36
,,0,2025-05-06T02:37:57.204349Z,living room,104,24.65,00:08:41
,,0,2025-05-06T02:38:02.215239Z,living room,105,24.67,00:08:46
,,0,2025-05-06T02:38:07.209435Z,living room,106,24.67,00:08:51
,,0,2025-05-06T02:38:12.209105Z,living room,107,24.65,00:08:56
,,0,2025-05-06T02:38:17.209098Z,living room,108,24.69,00:09:01
,,0,2025-05-06T02:38:22.213642Z,living room,109,24.69,00:09:06
,,0,2025-05-06T02:38:27.217007Z,living room,110,24.67,00:09:11
,,0,2025-05-06T02:38:32.215165Z,living room,111,24.69,00:09:16
,,0,2025-05-06T02:38:37.210522Z,living room,112,24.69,00:09:21
,,0,2025-05-06T02:38:42.20943Z,living room,113,24.71,00:09:26
,,0,2025-05-06T02:38:47.219319Z,living room,114,24.71,00:09:31
