#group,false,false,false,true,false,false,false
#datatype,string,long,dateTime:RFC3339,string,long,double,string
#default,_result,,,,,,
,result,table,_time,condition,serial_number,temperature,timestamp
,,0,2025-05-06T16:42:19.180569Z,lawn during daytime,75,31.23,00:06:15
,,0,2025-05-06T16:42:24.092814Z,lawn during daytime,76,30.77,00:06:20
,,0,2025-05-06T16:42:29.107136Z,lawn during daytime,77,30.53,00:06:25
,,0,2025-05-06T16:42:34.232621Z,lawn during daytime,78,30.27,00:06:30
,,0,2025-05-06T16:42:39.166284Z,lawn during daytime,79,29.95,00:06:35
,,0,2025-05-06T16:42:44.175363Z,lawn during daytime,80,29.81,00:06:40
,,0,2025-05-06T16:42:49.080102Z,lawn during daytime,81,29.69,00:06:45
,,0,2025-05-06T16:42:54.097777Z,lawn during daytime,82,29.75,00:06:50
,,0,2025-05-06T16:42:59.117341Z,lawn during daytime,83,29.73,00:06:55
,,0,2025-05-06T16:43:04.132495Z,lawn during daytime,84,29.71,00:07:00
,,0,2025-05-06T16:43:09.153252Z,lawn during daytime,85,29.71,00:07:05
,,0,2025-05-06T16:43:14.167508Z,lawn during daytime,86,29.81,00:07:10
,,0,2025-05-06T16:43:19.083725Z,lawn during daytime,87,29.87,00:07:15
,,0,2025-05-06T16:43:24.11253Z,lawn during daytime,88,29.83,00:07:20
,,0,2025-05-06T16:43:29.120621Z,lawn during daytime,89,29.61,00:07:25
,,0,2025-05-06T16:43:34.323797Z,lawn during daytime,90,29.61,00:07:30
,,0,2025-05-06T16:43:40.791704Z,lawn during daytime,91,,00:07:36
,,0,2025-05-06T16:43:57.710165Z,lawn during daytime,92,,00:07:53
,,0,2025-05-06T16:43:57.820622Z,lawn during daytime,93,29.69,00:07:53
,,0,2025-05-06T16:44:02.69692Z,lawn during daytime,94,29.71,00:07:58
,,0,2025-05-06T16:44:07.724884Z,lawn during daytime,95,29.69,00:08:03
,,0,2025-05-06T16:44:12.742003Z,lawn during daytime,96,29.73,00:08:08
,,0,2025-05-06T16:44:17.759559Z,lawn during daytime,97,29.71,00:08:13
,,0,2025-05-06T16:44:22.776054Z,lawn during daytime,98,29.65,00:08:18
,,0,2025-05-06T16:44:27.75445Z,lawn during daytime,99,29.37,00:08:23
,,0,2025-05-06T16:44:32.710954Z,lawn during daytime,100,29.13,00:08:28
,,0,2025-05-06T16:44:37.831601Z,lawn during daytime,101,28.95,00:08:33
,,0,2025-05-06T16:44:42.744316Z,lawn during daytime,102,28.79,00:08:38
,,0,2025-05-06T16:44:47.762551Z,lawn during daytime,103,28.69,00:08:43
,,0,2025-05-06T16:44:52.887576Z,lawn during daytime,104,28.61,00:08:48
,,0,2025-05-06T16:44:57.797651Z,lawn during daytime,105,28.47,00:08:53
,,0,2025-05-06T16:45:02.712854Z,lawn during daytime,106,28.37,00:08:58
,,0,2025-05-06T16:45:07.729953Z,lawn during daytime,107,28.35,00:09:03
,,0,2025-05-06T16:45:12.749723Z,lawn during daytime,108,28.29,00:09:08
,,0,2025-05-06T16:45:17.765265Z,lawn during daytime,109,28.17,00:09:13
,,0,2025-05-06T16:45:22.782496Z,lawn during daytime,110,28.09,00:09:18
,,0,2025-05-06T16:45:27.697138Z,lawn during daytime,111,27.95,00:09:23
,,0,2025-05-06T16:45:32.715637Z,lawn during daytime,112,27.85,00:09:28
,,0,2025-05-06T16:45:37.835514Z,lawn during daytime,113,27.77,00:09:33
,,0,2025-05-06T16:45:42.699259Z,lawn during daytime,114,27.73,00:09:38
,,0,2025-05-06T16:45:47.772691Z,lawn during daytime,115,27.77,00:09:43
,,0,2025-05-06T16:45:52.785755Z,lawn during daytime,116,27.85,00:09:48
,,0,2025-05-06T16:45:57.759847Z,lawn during daytime,117,27.83,00:09:53
,,0,2025-05-06T16:46:02.719026Z,lawn during daytime,118,27.75,00:09:58
,,0,2025-05-06T16:46:07.745381Z,lawn during daytime,119,27.77,00:10:03
,,0,2025-05-06T16:46:12.764834Z,lawn during daytime,120,27.73,00:10:08
,,0,2025-05-06T16:46:17.774482Z,lawn during daytime,121,27.71,00:10:13
,,0,2025-05-06T16:46:22.792862Z,lawn during daytime,122,27.67,00:10:18
,,0,2025-05-06T16:46:27.807489Z,lawn during daytime,123,27.61,00:10:23
,,0,2025-05-06T16:46:32.722939Z,lawn during daytime,124,27.59,00:10:28
,,0,2025-05-06T16:46:37.740184Z,lawn during daytime,125,27.59,00:10:33
,,0,2025-05-06T16:46:42.757519Z,lawn during daytime,126,27.63,00:10:38
,,0,2025-05-06T16:46:47.77491Z,lawn during daytime,127,27.69,00:10:43
,,0,2025-05-06T16:46:52.805338Z,lawn during daytime,128,27.71,00:10:48
,,0,2025-05-06T16:46:57.711998Z,lawn during daytime,129,27.69,00:10:53
,,0,2025-05-06T16:47:02.727418Z,lawn during daytime,130,27.73,00:10:58
,,0,2025-05-06T16:47:07.846117Z,lawn during daytime,131,27.85,00:11:03
,,0,2025-05-06T16:47:12.764165Z,lawn during daytime,132,27.95,00:11:08
,,0,2025-05-06T16:47:17.777799Z,lawn during daytime,133,27.91,00:11:13
,,0,2025-05-06T16:47:22.809958Z,lawn during daytime,134,27.89,00:11:18
,,0,2025-05-06T16:47:27.816549Z,lawn during daytime,135,27.87,00:11:23
,,0,2025-05-06T16:47:32.731162Z,lawn during daytime,136,27.83,00:11:28
,,0,2025-05-06T16:47:37.849223Z,lawn during daytime,137,27.67,00:11:33
,,0,2025-05-06T16:47:42.874464Z,lawn during daytime,138,27.51,00:11:38
,,0,2025-05-06T16:47:47.787189Z,lawn during daytime,139,27.39,00:11:43
,,0,2025-05-06T16:47:53.007741Z,lawn during daytime,140,27.31,00:11:48
